CD4_naive	CD8_naive	Tc	Tex	Tr1	nTreg	iTreg	Th1	Th2	Th17	Tfh	Tcm	Tem	NKT	MAIT	DC	B_cell	Monocyte	Macrophage	NK	Neutrophil	Tgd	CD4_T	CD8_T	InfiltrationScore
TCGA.35.5375.01A.01R.1628.07	0	0	0.18	0.094	0.058	0.121	0.238	0.231	0.136	0.016	0.365	0.058	0.084	0.108	0.139	0.14	0.1	0.106	0.216	0.454	0.094	0.086	0.115	0.277	0.751
TCGA.38.4625.01A.01R.1206.07	0	0.025	0.227	0.097	0.063	0.131	0.262	0.178	0.071	0.112	0.298	0.114	0.062	0.085	0.066	0.206	0.109	0.118	0.33	0.258	0.139	0.036	0.089	0.184	0.717
TCGA.38.4625.11A.01R.1758.07	0	0	0.136	0.044	0	0.002	0.13	0.026	0.131	0.137	0.394	0.053	0.02	0.267	0.152	0.213	0.057	0.133	0.362	0.388	0.219	0.105	0.107	0.186	0.833
TCGA.38.4626.01A.01R.1206.07	0	0.074	0.203	0.05	0.089	0.074	0.328	0.023	0.064	0.162	0.274	0.036	0.001	0.118	0.135	0.292	0.035	0.201	0.429	0.303	0.167	0.035	0.165	0.101	0.846
TCGA.38.4626.11A.01R.1758.07	0	0.029	0.204	0.07	0.031	0.034	0.212	0.066	0.122	0.117	0.339	0	0.02	0.159	0.179	0.247	0.05	0.154	0.423	0.432	0.193	0.08	0.088	0.162	0.875
TCGA.38.4627.01A.01R.1206.07	0	0.043	0.136	0.057	0.083	0.058	0.245	0.05	0.19	0.118	0.311	0.13	0.02	0.151	0.142	0.202	0.089	0.183	0.329	0.313	0.093	0.052	0.208	0.145	0.782
TCGA.38.4627.11A.01R.1758.07	0	0.008	0.228	0.061	0.026	0.049	0.131	0.076	0.167	0.093	0.423	0.069	0	0.231	0.198	0.209	0.068	0.135	0.338	0.428	0.145	0.152	0.101	0.211	0.818
TCGA.38.4628.01A.01R.1206.07	0	0.06	0.037	0.127	0.129	0.03	0.107	0.021	0.143	0.187	0.096	0.03	0.005	0.142	0.107	0.304	0.113	0.217	0.344	0.168	0.204	0	0.055	0.138	0.772
TCGA.38.4629.01A.02R.1206.07	0	0	0.225	0.135	0.07	0.101	0.291	0.228	0.115	0.046	0.309	0.1	0.018	0.093	0.137	0.229	0.1	0.159	0.362	0.328	0.107	0.073	0.068	0.183	0.767
TCGA.38.4630.01A.01R.1206.07	0	0.117	0.15	0.012	0.086	0.117	0.284	0.113	0.197	0.158	0.242	0.093	0.052	0.015	0	0.198	0.138	0.145	0.204	0.226	0.132	0.06	0.185	0.165	0.698
TCGA.38.4631.01A.01R.1755.07	0	0.024	0.149	0.096	0.09	0.162	0.239	0.09	0.087	0.09	0.334	0.111	0.107	0	0.133	0.136	0.104	0.107	0.197	0.316	0.197	0.058	0.101	0.214	0.686
