CD4_naive	CD8_naive	Tc	Tex	Tr1	nTreg	iTreg	Th1	Th2	Th17	Tfh	Tcm	Tem	NKT	MAIT	DC	B_cell	Monocyte	Macrophage	NK	Neutrophil	Tgd	CD4_T	CD8_T	InfiltrationScore
TCGA.A3.3373.01A.02R.1420.07	0	0.027	0.19	0.071	0.158	0.203	0.229	0.117	0.415	0.127	0.236	0.124	0	0.111	0.124	0.26	0.09	0.13	0.278	0.304	0.134	0.044	0.154	0.107	0.777
TCGA.A3.3374.01A.02R.1325.07	0	0	0.197	0.079	0.176	0.264	0.219	0.16	0.211	0.136	0.143	0.114	0	0.069	0.182	0.42	0.076	0.116	0.417	0.209	0.107	0	0.225	0.081	0.881
TCGA.A3.3376.01A.02R.1420.07	0	0.018	0.25	0.046	0.135	0.162	0.204	0.105	0.389	0.126	0.248	0.148	0	0.169	0.178	0.188	0.069	0.143	0.254	0.325	0.12	0.066	0.25	0.099	0.772
TCGA.A3.3378.01A.02R.1325.07	0	0	0.192	0.128	0.185	0.254	0.294	0.191	0.358	0.122	0.251	0.156	0	0.098	0.103	0.227	0.086	0.155	0.363	0.241	0.109	0	0.187	0.145	0.807
TCGA.A3.3380.01A.01R.0864.07	0	0.019	0.252	0.031	0.147	0.211	0.231	0.108	0.382	0.136	0.264	0.118	0	0.171	0.131	0.209	0.045	0.088	0.209	0.304	0.102	0.09	0.248	0.135	0.715
TCGA.A3.3382.01A.02R.1325.07	0	0.011	0.242	0.055	0.16	0.264	0.251	0.128	0.258	0.198	0.275	0.162	0	0.076	0.147	0.193	0.049	0.115	0.268	0.242	0.078	0.08	0.219	0.17	0.712
TCGA.A3.3383.01A.02R.1325.07	0	0	0.261	0.093	0.143	0.116	0.136	0.232	0.383	0.096	0.345	0.091	0	0.171	0.167	0.222	0.08	0.077	0.289	0.373	0.094	0.113	0.174	0.197	0.803
TCGA.A3.3385.01A.02R.1420.07	0	0.025	0.192	0.027	0.098	0.111	0.061	0.089	0.436	0.174	0.045	0.056	0	0.126	0.125	0.222	0.111	0.178	0.277	0.275	0.174	0.118	0.104	0.102	0.77
TCGA.A3.3387.01A.01R.1541.07	0	0.035	0.192	0.03	0.174	0.202	0.304	0.072	0.392	0.127	0.234	0.143	0	0.168	0.155	0.22	0.072	0.144	0.312	0.3	0.113	0.038	0.198	0.108	0.782
TCGA.A3.3387.11A.01R.1541.07	0.02	0.044	0.076	0.049	0	0.191	0.186	0.049	0.359	0.218	0.01	0.073	0	0.094	0.114	0.094	0.077	0.103	0.136	0.232	0.25	0.008	0.155	0.053	0.586
TCGA.A3.A6NI.01A.11R.A33J.07	0	0.007	0.202	0.09	0.026	0.158	0.161	0.116	0.401	0.154	0.263	0.069	0	0.175	0.136	0.234	0.063	0.163	0.304	0.357	0.143	0.056	0.181	0.106	0.826
TCGA.A3.A6NJ.01A.12R.A33J.07	0	0	0.273	0.128	0.15	0.212	0.217	0.233	0.37	0.102	0.347	0.149	0	0.109	0.103	0.177	0.079	0.067	0.263	0.327	0.077	0.074	0.181	0.215	0.739
TCGA.A3.A6NL.01A.11R.A33J.07	0	0	0.276	0.081	0.143	0.174	0.21	0.182	0.378	0.122	0.286	0.127	0	0.144	0.126	0.182	0.073	0.12	0.267	0.338	0.093	0.09	0.228	0.134	0.765
TCGA.A3.A6NN.01A.12R.A33J.07	0	0	0.29	0.058	0.146	0.208	0.224	0.165	0.368	0.126	0.296	0.118	0	0.114	0.124	0.194	0.057	0.141	0.262	0.356	0.078	0.138	0.186	0.171	0.771
TCGA.A3.A8CQ.01A.11R.A37O.07	0	0.037	0.222	0.061	0.122	0.171	0.199	0.112	0.384	0.167	0.259	0.126	0	0.145	0.103	0.192	0.086	0.109	0.22	0.313	0.103	0.062	0.202	0.097	0.705
TCGA.A3.A8OU.01A.11R.A37O.07	0	0.004	0.257	0.072	0.128	0.155	0.163	0.134	0.389	0.164	0.339	0.066	0	0.149	0.132	0.192	0.091	0.148	0.264	0.341	0.102	0.095	0.184	0.139	0.779
TCGA.A3.A8OV.01A.11R.A37O.07	0	0.003	0.236	0.109	0	0.141	0.124	0.147	0.422	0.145	0.204	0.024	0.034	0.06	0.131	0.222	0.09	0.185	0.305	0.385	0.141	0.101	0.107	0.149	0.844
TCGA.A3.A8OW.01A.11R.A37O.07	0	0.002	0.215	0.078	0.143	0.238	0.179	0.125	0.378	0.126	0.324	0.137	0	0.169	0.1	0.154	0.061	0.063	0.152	0.276	0.1	0.108	0.196	0.222	0.652
TCGA.A3.A8OX.01A.11R.A37O.07	0	0	0.29	0.076	0.171	0.176	0.215	0.157	0.357	0.146	0.324	0.162	0	0.128	0.143	0.181	0.056	0.07	0.224	0.328	0.081	0.058	0.241	0.157	0.713
TCGA.AK.3425.01A.02R.1277.07	0	0	0.238	0.129	0.148	0.197	0.191	0.223	0.307	0.149	0.305	0.14	0	0.129	0.129	0.249	0.065	0.128	0.356	0.33	0.059	0.06	0.165	0.178	0.815
TCGA.AK.3426.01A.02R.1325.07	0	0.041	0.284	0.152	0.146	0.202	0.243	0.19	0.339	0.044	0.34	0.122	0	0.131	0.143	0.205	0.068	0.084	0.313	0.322	0.037	0.069	0.212	0.252	0.796
TCGA.AK.3427.01A.01R.0864.07	0	0.104	0.054	0.019	0	0.051	0	0.091	0.38	0.168	0.06	0.043	0.006	0.093	0.134	0.135	0.147	0.112	0.15	0.142	0.178	0.021	0.094	0.103	0.565
TCGA.AK.3428.01A.02R.1277.07	0	0	0.11	0.09	0.133	0.2	0.184	0.05	0.417	0.176	0.165	0.116	0	0.135	0.135	0.208	0.052	0.14	0.318	0.235	0.215	0.069	0.043	0.107	0.703
TCGA.AK.3429.01A.02R.1325.07	0	0	0.242	0.134	0.163	0.196	0.169	0.232	0.401	0.101	0.358	0.194	0	0.039	0.104	0.2	0.099	0.043	0.232	0.322	0.047	0.118	0.145	0.233	0.704
TCGA.AK.3431.01A.02R.1277.07	0	0.002	0.259	0.034	0.161	0.175	0.192	0.087	0.401	0.132	0.284	0.152	0	0.147	0.186	0.176	0.057	0.117	0.237	0.348	0.126	0.103	0.186	0.112	0.725
TCGA.AK.3433.01A.02R.1277.07	0	0.102	0.17	0	0.18	0.251	0.218	0.081	0.328	0.133	0.039	0.122	0	0	0.145	0.176	0.111	0.054	0.203	0.116	0.163	0	0.173	0.112	0.591
TCGA.AK.3434.01A.02R.1277.07	0	0	0.273	0.084	0.137	0.139	0.159	0.186	0.409	0.105	0.351	0.151	0	0.113	0.148	0.147	0.061	0.06	0.158	0.366	0.083	0.151	0.19	0.181	0.665
TCGA.AK.3436.01A.02R.1325.07	0	0.035	0.229	0.018	0.156	0.125	0.132	0.116	0.401	0.184	0.283	0.165	0	0.058	0.199	0.188	0.041	0.145	0.181	0.3	0.077	0.087	0.213	0.152	0.691
TCGA.AK.3440.01A.02R.1277.07	0.029	0.106	0.15	0.048	0.04	0.181	0.105	0.051	0.27	0.2	0.046	0.079	0	0	0.162	0.208	0.096	0.027	0.211	0.087	0.159	0	0.178	0.042	0.538
TCGA.AK.3443.01A.02R.1325.07	0.013	0.068	0	0	0.07	0.213	0.088	0.072	0.139	0.221	0	0.123	0	0	0.075	0.132	0.137	0.077	0.089	0.052	0.207	0	0.217	0.009	0.491
TCGA.AK.3444.01A.02R.1325.07	0	0	0.256	0.084	0.125	0.18	0.136	0.177	0.426	0.153	0.328	0.164	0.018	0.062	0.123	0.174	0.072	0.074	0.181	0.346	0.088	0.099	0.167	0.184	0.686
TCGA.AK.3445.01A.02R.1277.07	0	0.056	0.244	0.084	0.154	0.176	0.264	0.222	0.353	0.165	0.294	0.127	0	0.071	0.153	0.194	0.063	0.096	0.274	0.315	0.062	0.051	0.216	0.145	0.728
TCGA.AK.3447.01A.01R.1766.07	0	0.079	0.176	0.048	0	0.061	0	0.032	0.388	0.161	0.062	0.065	0	0	0.245	0.144	0.103	0.06	0.166	0.234	0.167	0.067	0	0.164	0.553
TCGA.AK.3450.01A.02R.1277.07	0	0.002	0.23	0.084	0.089	0.166	0.138	0.141	0.429	0.162	0.289	0.123	0.01	0.08	0.143	0.199	0.062	0.085	0.196	0.325	0.124	0.093	0.18	0.15	0.704
TCGA.AK.3451.01A.02R.1188.07	0	0.002	0.27	0.071	0.103	0.121	0.058	0.106	0.369	0.123	0.331	0.16	0	0.107	0.21	0.318	0.048	0.116	0.312	0.31	0.063	0.105	0.098	0.22	0.792
TCGA.AK.3453.01A.02R.1277.07	0	0.02	0.137	0.086	0.106	0.127	0.058	0	0.383	0.228	0	0.023	0.011	0	0.183	0.238	0.107	0.09	0.277	0	0.196	0.037	0.166	0.106	0.629
TCGA.AK.3454.01A.02R.1277.07	0	0	0.277	0.1	0.105	0.156	0.167	0.231	0.388	0.165	0.322	0.147	0.011	0.069	0.101	0.123	0.044	0.109	0.144	0.365	0.132	0.128	0.194	0.147	0.671
TCGA.AK.3455.01A.01R.0864.07	0	0	0.26	0.131	0.166	0.201	0.231	0.224	0.381	0.121	0.356	0.163	0.011	0.06	0.11	0.125	0.038	0.06	0.125	0.329	0.036	0.146	0.183	0.276	0.625
TCGA.AK.3456.01A.02R.1325.07	0	0.015	0.181	0.074	0.195	0.108	0.076	0.089	0.474	0.156	0.144	0.124	0	0.032	0.159	0.316	0.061	0.121	0.348	0.271	0.148	0.016	0.181	0.106	0.828
TCGA.AK.3458.01A.01R.1503.07	0	0.003	0.239	0.093	0.133	0.154	0.137	0.154	0.398	0.152	0.303	0.142	0.038	0.114	0.194	0.144	0.045	0.09	0.136	0.37	0.097	0.13	0.164	0.193	0.661
TCGA.AK.3460.01A.02R.1277.07	0	0	0.269	0.062	0.149	0.171	0.175	0.112	0.411	0.144	0.283	0.104	0	0.112	0.147	0.201	0.064	0.143	0.234	0.356	0.108	0.1	0.172	0.168	0.771
