CD4_naive	CD8_naive	Tc	Tex	Tr1	nTreg	iTreg	Th1	Th2	Th17	Tfh	Tcm	Tem	NKT	MAIT	DC	B_cell	Monocyte	Macrophage	NK	Neutrophil	Tgd	CD4_T	CD8_T	InfiltrationScore
TCGA.A6.5666.01A.01R.1653.07	0	0.042	0.222	0.116	0.046	0.098	0.183	0.123	0.183	0.158	0	0	0	0.029	0.161	0.151	0.074	0.206	0.28	0.083	0.282	0.027	0.042	0.168	0.626
TCGA.A6.5667.01A.21R.1723.07	0	0.07	0.235	0.12	0.056	0.118	0.265	0.244	0.233	0.161	0.108	0	0	0.183	0.147	0.184	0.054	0.178	0.294	0.148	0.21	0.028	0.105	0.133	0.635
TCGA.A6.5667.11A.01R.1723.07	0	0.003	0.276	0.097	0.075	0.011	0.207	0.126	0.342	0.224	0.382	0	0.047	0.164	0.294	0.108	0.182	0.087	0.251	0.262	0.166	0	0.18	0.221	0.709
TCGA.A6.6137.01A.11R.1774.07	0	0.078	0.223	0.053	0.144	0.097	0.35	0.152	0.275	0.187	0.332	0.055	0.002	0.128	0.205	0.148	0.113	0.143	0.22	0.216	0.163	0.01	0.189	0.229	0.691
TCGA.A6.6138.01A.11R.1774.07	0	0.025	0.413	0.186	0.098	0.108	0.318	0.338	0.177	0.113	0.304	0.051	0.001	0.007	0.159	0.262	0.099	0.188	0.403	0.31	0.124	0.053	0.13	0.255	0.862
TCGA.A6.6140.01A.11R.1774.07	0	0.045	0.307	0.135	0.069	0.081	0.26	0.23	0.186	0.156	0.3	0.009	0.041	0.098	0.184	0.099	0.093	0.164	0.168	0.231	0.217	0.04	0.134	0.214	0.642
TCGA.A6.6141.01A.11R.1774.07	0	0.07	0.294	0.127	0.112	0.075	0.3	0.274	0.333	0.158	0.352	0.064	0.042	0.052	0.201	0.115	0.129	0.09	0.158	0.299	0.093	0.033	0.187	0.271	0.653
TCGA.A6.6142.01A.11R.1774.07	0	0.093	0.21	0.124	0.038	0.101	0.287	0.109	0.336	0.202	0.062	0	0	0.055	0.14	0.227	0.059	0.226	0.4	0.211	0.191	0.009	0.101	0.148	0.761
TCGA.A6.6648.01A.11R.1774.07	0	0.044	0.231	0.09	0.075	0.123	0.277	0.173	0.232	0.192	0.167	0.001	0.006	0.152	0.293	0.138	0.103	0.173	0.209	0.186	0.235	0.015	0.099	0.162	0.635
TCGA.A6.6649.01A.11R.1774.07	0	0.027	0.275	0.076	0.097	0.117	0.326	0.16	0.317	0.246	0.289	0.031	0	0.167	0.28	0.13	0.11	0.148	0.237	0.286	0.145	0	0.192	0.211	0.71
TCGA.A6.6650.01A.11R.1774.07	0	0.011	0.215	0.102	0.112	0.075	0.218	0.206	0.078	0.198	0.245	0.007	0.025	0.181	0.199	0.088	0.134	0.195	0.224	0.07	0.226	0.01	0.116	0.112	0.567
TCGA.A6.6651.01A.21R.1839.07	0	0.052	0.331	0.103	0.107	0.072	0.324	0.17	0.336	0.141	0.358	0.021	0	0.098	0.171	0.223	0.138	0.2	0.402	0.253	0.081	0.091	0.205	0.288	0.871
TCGA.A6.6652.01A.11R.1774.07	0	0.063	0.212	0.103	0	0.104	0.236	0.189	0.075	0.266	0.192	0	0	0.099	0.121	0.082	0.073	0.178	0.186	0.124	0.243	0.038	0.122	0.144	0.561
TCGA.A6.6653.01A.11R.1774.07	0	0.022	0.318	0.132	0.044	0.153	0.24	0.211	0.278	0.178	0.158	0.005	0.033	0.079	0.175	0.235	0.081	0.205	0.277	0.2	0.196	0.019	0.054	0.203	0.706
