CD4_naive	CD8_naive	Tc	Tex	Tr1	nTreg	iTreg	Th1	Th2	Th17	Tfh	Tcm	Tem	NKT	MAIT	DC	B_cell	Monocyte	Macrophage	NK	Neutrophil	Tgd	CD4_T	CD8_T	InfiltrationScore
TCGA.CH.5789.01A.11R.1580.07	0	0.024	0.239	0.116	0.103	0.104	0.232	0.082	0.279	0.155	0.16	0.04	0.027	0.111	0.142	0.164	0.051	0.102	0.253	0.316	0.141	0.039	0.106	0.089	0.734
TCGA.CH.5790.01A.11R.1580.07	0.014	0.002	0.222	0.072	0.008	0.127	0.183	0.069	0.241	0.187	0.2	0.06	0.018	0.048	0.138	0.147	0.048	0.172	0.202	0.185	0.164	0.067	0.111	0.153	0.71
TCGA.CH.5791.01A.11R.1580.07	0.021	0.028	0.155	0.01	0.104	0.123	0.19	0.074	0.206	0.17	0.161	0.089	0.042	0.079	0.19	0.162	0.087	0.145	0.212	0.225	0.166	0.034	0.132	0.109	0.743
TCGA.CH.5792.01A.11R.1580.07	0	0.009	0.287	0.075	0.131	0.085	0.189	0.151	0.285	0.131	0.304	0.118	0.012	0.175	0.151	0.137	0.091	0.094	0.262	0.354	0.091	0.051	0.167	0.14	0.802
TCGA.CH.5794.01A.11R.1580.07	0.008	0.067	0.185	0.054	0.13	0.14	0.2	0.036	0.218	0.169	0.057	0	0.019	0.097	0.243	0.134	0.056	0.122	0.193	0.212	0.176	0.031	0.077	0.124	0.658
TCGA.EJ.5494.01A.01R.1580.07	0	0.018	0.253	0.042	0.115	0.113	0.217	0.094	0.295	0.167	0.254	0.075	0.008	0.13	0.186	0.086	0.021	0.083	0.17	0.364	0.124	0.065	0.105	0.191	0.687
TCGA.EJ.5495.01A.01R.1580.07	0	0.025	0.263	0.054	0.131	0.112	0.239	0.17	0.283	0.095	0.257	0.131	0.003	0.132	0.249	0.164	0.085	0.087	0.176	0.335	0.069	0.059	0.169	0.146	0.738
TCGA.EJ.5496.01A.01R.1580.07	0.026	0.015	0.234	0.082	0	0.133	0.179	0.1	0.284	0.162	0.181	0.047	0.006	0.065	0.159	0.098	0.071	0.077	0.101	0.224	0.148	0.067	0.069	0.172	0.577
TCGA.EJ.5497.01A.02R.1580.07	0.029	0.012	0.26	0.072	0.106	0.108	0.176	0.113	0.19	0.151	0.303	0.133	0.01	0.102	0.169	0.137	0.063	0.085	0.118	0.193	0.121	0.04	0.161	0.154	0.62
TCGA.EJ.5498.01A.01R.1580.07	0.02	0.018	0.242	0.105	0.055	0.099	0.155	0.104	0.326	0.155	0.249	0.099	0.02	0.139	0.191	0.095	0.069	0.084	0.166	0.318	0.11	0.043	0.143	0.131	0.67
TCGA.EJ.5499.01A.01R.1580.07	0.001	0.026	0.287	0.054	0.117	0.125	0.191	0.194	0.314	0.137	0.203	0.081	0.04	0.094	0.136	0.155	0.103	0.084	0.152	0.327	0.097	0.086	0.13	0.151	0.719
TCGA.EJ.5501.01A.01R.1580.07	0.018	0.033	0.224	0.056	0.078	0.103	0.181	0.093	0.283	0.176	0.182	0.04	0.034	0.116	0.256	0.099	0.053	0.077	0.098	0.279	0.117	0.068	0.112	0.152	0.593
TCGA.EJ.5502.01A.01R.1580.07	0	0	0.24	0.068	0.131	0.092	0.267	0.086	0.281	0.143	0.276	0.094	0.021	0.171	0.165	0.062	0.045	0.128	0.187	0.348	0.122	0.05	0.178	0.142	0.728
TCGA.EJ.5503.01A.01R.1580.07	0.008	0.033	0.259	0.077	0.136	0.077	0.151	0.108	0.297	0.154	0.297	0.098	0.01	0.154	0.181	0.068	0.099	0.074	0.071	0.274	0.109	0.041	0.198	0.149	0.626
TCGA.EJ.5504.01A.01R.1580.07	0	0.036	0.24	0.084	0.094	0.091	0.127	0.08	0.332	0.145	0.188	0.07	0.018	0.084	0.249	0.17	0.059	0.127	0.229	0.282	0.136	0.028	0.118	0.121	0.746
TCGA.EJ.5505.01A.01R.1580.07	0.051	0.046	0.223	0.054	0	0.045	0.1	0.104	0.284	0.161	0.118	0.084	0	0.125	0.141	0.094	0.06	0.094	0.155	0.185	0.164	0.06	0.046	0.155	0.573
TCGA.EJ.5506.01A.01R.1580.07	0.028	0.013	0.248	0.033	0.109	0.119	0.173	0.125	0.313	0.158	0.207	0.071	0.047	0.052	0.181	0.076	0.058	0.079	0.111	0.287	0.112	0.065	0.158	0.149	0.618
TCGA.EJ.5507.01A.01R.1580.07	0	0.019	0.226	0.072	0.108	0.109	0.205	0.22	0.31	0.101	0.269	0.139	0.088	0.029	0.198	0.147	0.048	0.084	0.138	0.254	0.107	0.036	0.185	0.154	0.672
TCGA.EJ.5508.01A.02R.1580.07	0.015	0.028	0.275	0.064	0.123	0.099	0.223	0.114	0.287	0.14	0.296	0.116	0.002	0.105	0.158	0.146	0.07	0.081	0.182	0.275	0.109	0.067	0.146	0.149	0.696
TCGA.EJ.5509.01A.01R.1580.07	0	0.027	0.28	0.048	0.13	0.103	0.215	0.119	0.268	0.12	0.243	0.091	0	0.179	0.187	0.161	0.074	0.11	0.243	0.279	0.095	0.064	0.145	0.154	0.758
TCGA.EJ.5510.01A.01R.1580.07	0	0.02	0.214	0.055	0.053	0.112	0.157	0.126	0.319	0.13	0.357	0.112	0.026	0.11	0.242	0.124	0.059	0.068	0.101	0.31	0.11	0.038	0.141	0.179	0.656
TCGA.EJ.5511.01A.01R.1580.07	0.001	0.022	0.193	0.08	0.063	0.111	0.199	0.091	0.284	0.172	0.18	0.044	0.022	0.161	0.171	0.131	0.048	0.125	0.165	0.253	0.15	0.037	0.088	0.112	0.644
TCGA.EJ.5512.01A.01R.1580.07	0.014	0.019	0.272	0.075	0.07	0.095	0.168	0.127	0.272	0.167	0.233	0.061	0.026	0.133	0.179	0.056	0.067	0.072	0.031	0.347	0.13	0.042	0.13	0.145	0.588
TCGA.EJ.5514.01A.01R.1580.07	0	0.046	0.225	0.043	0.15	0.082	0.27	0.11	0.309	0.127	0.246	0.101	0.044	0.088	0.204	0.19	0.098	0.109	0.284	0.24	0.113	0	0.147	0.127	0.786
TCGA.EJ.5515.01A.01R.1580.07	0.014	0.009	0.235	0.099	0	0.069	0.109	0.088	0.324	0.164	0.148	0.065	0.017	0.149	0.174	0.065	0.069	0.091	0.112	0.269	0.119	0.074	0.086	0.136	0.569
TCGA.EJ.5516.01A.01R.1580.07	0	0.01	0.267	0.066	0.001	0.109	0.216	0.135	0.318	0.137	0.24	0.114	0.014	0.077	0.225	0.184	0.046	0.086	0.202	0.289	0.126	0.064	0.117	0.091	0.685
TCGA.EJ.5517.01A.01R.1580.07	0.028	0.023	0.265	0.087	0.147	0.057	0.143	0.113	0.326	0.114	0.328	0.166	0	0.073	0.166	0.108	0.093	0.066	0.114	0.248	0.077	0.066	0.144	0.198	0.63
TCGA.EJ.5518.01A.01R.1580.07	0	0	0.263	0.056	0.126	0.052	0.219	0.11	0.299	0.163	0.206	0.086	0.022	0.128	0.21	0.144	0.04	0.117	0.223	0.275	0.123	0.02	0.131	0.115	0.701
TCGA.EJ.5519.01A.01R.1580.07	0	0.021	0.195	0.057	0.095	0.07	0.084	0.087	0.274	0.172	0.157	0.074	0.022	0.112	0.299	0.132	0.031	0.129	0.192	0.199	0.165	0.016	0.115	0.11	0.645
TCGA.EJ.5521.01A.01R.1580.07	0	0.039	0.208	0.069	0.082	0.049	0.09	0.101	0.336	0.164	0.212	0.039	0	0.186	0.2	0.183	0.079	0.097	0.188	0.339	0.154	0.023	0.075	0.148	0.758
TCGA.EJ.5522.01A.01R.1580.07	0.009	0.036	0.249	0.033	0.144	0.12	0.254	0.127	0.294	0.123	0.265	0.157	0.033	0.074	0.182	0.135	0.087	0.056	0.111	0.302	0.091	0.056	0.185	0.156	0.675
TCGA.EJ.5524.01A.01R.1580.07	0.009	0.021	0.274	0	0.098	0.128	0.239	0.159	0.292	0.119	0.304	0.136	0.015	0.118	0.181	0.15	0.081	0.096	0.177	0.296	0.1	0.063	0.147	0.16	0.725
TCGA.EJ.5525.01A.01R.1580.07	0	0.06	0.187	0.041	0.138	0.07	0.195	0.105	0.26	0.117	0.168	0.083	0	0.102	0.16	0.199	0.098	0.193	0.25	0.118	0.157	0	0.093	0.079	0.713
TCGA.EJ.5526.01A.01R.1580.07	0.003	0.034	0.253	0.048	0.087	0.121	0.202	0.099	0.302	0.155	0.283	0.13	0.005	0.064	0.22	0.146	0.075	0.125	0.184	0.269	0.1	0.06	0.148	0.132	0.708
TCGA.EJ.5527.01A.01R.1580.07	0.008	0.037	0.245	0.034	0.125	0.114	0.243	0.106	0.309	0.122	0.291	0.147	0.003	0.085	0.158	0.168	0.084	0.091	0.166	0.29	0.117	0.043	0.146	0.152	0.73
TCGA.EJ.5530.01A.01R.1580.07	0.005	0.011	0.216	0.054	0.165	0.106	0.216	0.038	0.332	0.154	0.131	0.03	0.035	0.087	0.169	0.115	0.073	0.117	0.133	0.222	0.157	0.056	0.147	0.149	0.668
TCGA.EJ.5531.01A.01R.1580.07	0	0	0.293	0.095	0.126	0.091	0.158	0.12	0.301	0.128	0.273	0.098	0.025	0.111	0.157	0.165	0.09	0.108	0.256	0.324	0.104	0.074	0.133	0.158	0.804
TCGA.EJ.5532.01A.01R.1580.07	0.029	0.024	0.21	0.07	0.147	0.075	0.137	0.084	0.298	0.117	0.159	0.095	0.017	0.109	0.253	0.115	0.081	0.11	0.167	0.217	0.138	0.019	0.122	0.142	0.656
TCGA.EJ.5542.01A.01R.1580.07	0.03	0.034	0.196	0.059	0.035	0.084	0.186	0.094	0.313	0.165	0.197	0.114	0	0.103	0.217	0.143	0.082	0.112	0.13	0.192	0.139	0.025	0.134	0.133	0.639
