CD4_naive	CD8_naive	Tc	Tex	Tr1	nTreg	iTreg	Th1	Th2	Th17	Tfh	Tcm	Tem	NKT	MAIT	DC	B_cell	Monocyte	Macrophage	NK	Neutrophil	Tgd	CD4_T	CD8_T	InfiltrationScore
TCGA.BB.A5HY.01A.11R.A28V.07	0	0.089	0.282	0.118	0.169	0.114	0.179	0.198	0.167	0.074	0.084	0.052	0.026	0.074	0.179	0.193	0.007	0.109	0.094	0.187	0.193	0.081	0.118	0.137	0.544
TCGA.BB.A5HZ.01A.21R.A28V.07	0.006	0.104	0.242	0.061	0.128	0.034	0.055	0.041	0.174	0.221	0.069	0.045	0.029	0.077	0.216	0.145	0.09	0.146	0.104	0.12	0.212	0.064	0.129	0.24	0.622
TCGA.BB.A6UM.01A.12R.A34R.07	0	0.05	0.439	0.154	0.133	0.116	0.154	0.25	0.19	0.115	0.287	0.023	0.074	0	0.18	0.159	0.095	0.087	0.13	0.274	0.124	0.132	0.104	0.336	0.686
TCGA.BB.A6UO.01A.12R.A34R.07	0	0.095	0.354	0.087	0.136	0.106	0.134	0.143	0.144	0.148	0.034	0.023	0.043	0.048	0.231	0.223	0.021	0.214	0.255	0.213	0.142	0.095	0.053	0.194	0.69
TCGA.C9.A47Z.01A.11R.A24H.07	0	0.064	0.338	0.08	0.146	0.095	0.218	0.204	0.142	0.172	0.018	0.021	0.062	0.049	0.234	0.241	0.065	0.123	0.127	0.208	0.188	0.037	0.107	0.218	0.67
TCGA.C9.A480.01A.12R.A24H.07	0.003	0.08	0.344	0.1	0.063	0.087	0.15	0.307	0.128	0.209	0.109	0.01	0.072	0.072	0.215	0.21	0.065	0.073	0.104	0.219	0.139	0.1	0.096	0.236	0.599
TCGA.CN.4722.01A.01R.1436.07	0	0.075	0.301	0.002	0.23	0.057	0.166	0.085	0.162	0.186	0.261	0.145	0.024	0.064	0.281	0.12	0.099	0.131	0.129	0.173	0.159	0.066	0.183	0.316	0.686
TCGA.CN.4723.01A.01R.1436.07	0	0.088	0.353	0.118	0.19	0.103	0.208	0.255	0.215	0.088	0.174	0.044	0	0.065	0.225	0.172	0.081	0.165	0.193	0.304	0.138	0.075	0.145	0.253	0.761
TCGA.CN.4725.01A.01R.1436.07	0	0.105	0.206	0.041	0.144	0.096	0.165	0.177	0	0.203	0	0.046	0	0.115	0.256	0.227	0.052	0.142	0.138	0.189	0.195	0	0.115	0.207	0.663
TCGA.CN.4726.01A.01R.1436.07	0	0.055	0.294	0.077	0.194	0.084	0.128	0.053	0.208	0.204	0	0.092	0.036	0.018	0.243	0.227	0.061	0.186	0.284	0.191	0.248	0	0.071	0.21	0.775
TCGA.CN.4727.01A.01R.1436.07	0.036	0.058	0.079	0.027	0.126	0.077	0.055	0.072	0.078	0.219	0.009	0.116	0.008	0.045	0.116	0.128	0.037	0.158	0.122	0.144	0.3	0.067	0.113	0.052	0.552
TCGA.CN.4728.01A.01R.1436.07	0	0.072	0.389	0.079	0.19	0.133	0.229	0.165	0.159	0.117	0.251	0.095	0	0.066	0.183	0.279	0.036	0.212	0.37	0.221	0.082	0.085	0.182	0.276	0.869
TCGA.CN.4729.01A.01R.1436.07	0	0.087	0.287	0.058	0.206	0.144	0.205	0.104	0.189	0.212	0.226	0.084	0	0.095	0.244	0.186	0.095	0.102	0.108	0.217	0.191	0.016	0.158	0.245	0.682
