CD4_naive	CD8_naive	Tc	Tex	Tr1	nTreg	iTreg	Th1	Th2	Th17	Tfh	Tcm	Tem	NKT	MAIT	DC	B_cell	Monocyte	Macrophage	NK	Neutrophil	Tgd	CD4_T	CD8_T	InfiltrationScore
TCGA.BC.A10S.01A.22R.A131.07	0	0.051	0.206	0.023	0.22	0.086	0.197	0.176	0.337	0.175	0.34	0.046	0	0.012	0.284	0.223	0.057	0.173	0.362	0.254	0.183	0.065	0.121	0.171	0.814
TCGA.BC.A10T.01A.11R.A131.07	0.011	0.15	0.136	0.032	0.248	0.046	0.107	0.184	0.384	0.142	0.274	0.037	0	0.084	0.244	0.185	0.052	0.146	0.218	0.233	0.151	0.034	0.133	0.184	0.686
TCGA.BC.A10T.11A.11R.A131.07	0.032	0.119	0.179	0.092	0	0	0.064	0.262	0.335	0.187	0.328	0.048	0	0.007	0.33	0.172	0.026	0.198	0.335	0.267	0.191	0.014	0.042	0.199	0.754
TCGA.BC.A10U.01A.11R.A131.07	0	0.111	0.064	0.011	0.241	0.22	0.23	0.018	0.313	0.207	0.021	0.038	0	0.003	0.273	0.121	0.099	0.178	0.227	0.087	0.255	0.015	0.049	0.254	0.67
TCGA.BC.A10U.11A.11R.A131.07	0.038	0.114	0.086	0.032	0.144	0.1	0.229	0.132	0.402	0.199	0.279	0.08	0	0	0.295	0.148	0.027	0.202	0.317	0.236	0.192	0.001	0.087	0.149	0.715
TCGA.BC.A10W.01A.11R.A131.07	0.002	0.132	0.09	0.036	0.242	0.13	0.216	0.184	0.24	0.188	0.043	0.072	0	0.015	0.268	0.23	0.147	0.166	0.272	0.003	0.169	0	0.12	0.101	0.637
TCGA.BC.A10W.11A.11R.A131.07	0.04	0.105	0.151	0.056	0.129	0.089	0.235	0.198	0.393	0.151	0.329	0.005	0	0.024	0.306	0.155	0.022	0.197	0.334	0.275	0.173	0.042	0.08	0.211	0.763
TCGA.BC.A10X.01A.11R.A131.07	0.067	0.099	0.155	0.039	0.184	0.082	0.197	0.166	0.407	0.179	0.295	0.065	0	0.019	0.283	0.178	0.045	0.184	0.317	0.27	0.173	0	0.112	0.162	0.76
TCGA.BC.A10X.11A.11R.A131.07	0.066	0.118	0.163	0.058	0.119	0.005	0.11	0.272	0.408	0.174	0.276	0.031	0	0	0.31	0.153	0.027	0.173	0.287	0.285	0.178	0.003	0.087	0.177	0.721
TCGA.BC.A10Y.01A.11R.A131.07	0	0.116	0.174	0.04	0.235	0.101	0.166	0.26	0.397	0.179	0.228	0.071	0	0	0.221	0.166	0.092	0.122	0.187	0.249	0.149	0.057	0.131	0.195	0.681
TCGA.BC.A10Y.11A.11R.A131.07	0.078	0.088	0.175	0.05	0.141	0.036	0.171	0.201	0.367	0.18	0.338	0.075	0	0.032	0.281	0.219	0.031	0.17	0.344	0.273	0.177	0.011	0.123	0.154	0.786
TCGA.BC.A10Z.01A.11R.A131.07	0.079	0.118	0	0	0.326	0.081	0.121	0	0.159	0.232	0	0	0	0.02	0.085	0.131	0.126	0.178	0.196	0.025	0.285	0	0.063	0.053	0.558
TCGA.BC.A10Z.11A.11R.A131.07	0.059	0.141	0.159	0.077	0.162	0.069	0.152	0.271	0.353	0.183	0.266	0	0	0.011	0.253	0.171	0.012	0.209	0.293	0.271	0.205	0	0.089	0.164	0.745
TCGA.BC.A110.01A.11R.A131.07	0.044	0.088	0.163	0.036	0.198	0.078	0.138	0.163	0.393	0.177	0.36	0.051	0	0.079	0.276	0.194	0.035	0.195	0.362	0.27	0.142	0.041	0.137	0.208	0.814
TCGA.BC.A110.11A.11R.A131.07	0.006	0.059	0.137	0.06	0.146	0.041	0.155	0.212	0.41	0.239	0.249	0.042	0	0.059	0.28	0.171	0.009	0.223	0.333	0.206	0.218	0.014	0.056	0.142	0.716
TCGA.BC.A112.01A.11R.A131.07	0.057	0.143	0.054	0.002	0.148	0.08	0.084	0.138	0.389	0.168	0.046	0.105	0	0.021	0.26	0.214	0.172	0.163	0.248	0.118	0.236	0	0.108	0.112	0.723
TCGA.BC.A216.01A.11R.A155.07	0	0.084	0.182	0.143	0.204	0.111	0.165	0.293	0.31	0.156	0.319	0.075	0	0.051	0.197	0.078	0.075	0.135	0.138	0.198	0.139	0.105	0.102	0.237	0.582
TCGA.BC.A216.11A.11R.A155.07	0.019	0.095	0.18	0.065	0.062	0.046	0.166	0.153	0.399	0.2	0.307	0.007	0	0.14	0.287	0.156	0.038	0.208	0.359	0.279	0.168	0.036	0.069	0.176	0.766
TCGA.BC.A217.01A.11R.A155.07	0.006	0.096	0.152	0.005	0.215	0.111	0.172	0.226	0.407	0.191	0.333	0.044	0.02	0.029	0.215	0.192	0.102	0.089	0.206	0.29	0.127	0.032	0.152	0.23	0.733
TCGA.BC.A3KF.01A.11R.A213.07	0.032	0.134	0.116	0	0.244	0.083	0.117	0.136	0.406	0.181	0.191	0.078	0.005	0	0.264	0.156	0.092	0.183	0.192	0.175	0.205	0.016	0.096	0.166	0.667
TCGA.BC.A3KG.01A.11R.A213.07	0	0.157	0.08	0.017	0.284	0.081	0.114	0.095	0.319	0.216	0.203	0.074	0.003	0	0.239	0.135	0.102	0.202	0.145	0.098	0.212	0	0.148	0.182	0.645
TCGA.BC.A5W4.01A.11R.A28V.07	0.069	0.076	0	0	0.142	0.017	0.068	0.043	0.3	0.171	0.119	0.044	0	0.033	0.084	0.183	0.127	0.161	0.151	0.099	0.232	0.049	0.061	0.12	0.598
TCGA.BC.A69H.01A.11R.A311.07	0	0.055	0.143	0.023	0.223	0.112	0.157	0.254	0.328	0.14	0.238	0	0.011	0.111	0.288	0.294	0.117	0.191	0.317	0.153	0.186	0.006	0.093	0.241	0.839
TCGA.BC.A69I.01A.11R.A311.07	0	0.116	0.166	0.018	0.219	0.087	0.155	0.175	0.283	0.228	0.21	0.005	0	0.061	0.274	0.168	0.004	0.198	0.264	0.2	0.203	0.038	0.085	0.18	0.687
TCGA.BC.A8YO.01A.11R.A37K.07	0	0.106	0.212	0.104	0.202	0.122	0.289	0.356	0.219	0.163	0.237	0.103	0	0	0.266	0.217	0.143	0.107	0.221	0.18	0.128	0.037	0.094	0.21	0.686
TCGA.BD.A2L6.01A.11R.A213.07	0	0.119	0.167	0	0.196	0.069	0.111	0.216	0.396	0.176	0.338	0.089	0.007	0.03	0.339	0.136	0.09	0.159	0.161	0.275	0.172	0.043	0.116	0.219	0.7
TCGA.BD.A2L6.11A.21R.A213.07	0.066	0.073	0.202	0.052	0.202	0.047	0.263	0.263	0.308	0.091	0.404	0.103	0	0.066	0.37	0.23	0.075	0.116	0.352	0.252	0.092	0.026	0.183	0.215	0.799
TCGA.BD.A3EP.01A.11R.A22L.07	0.023	0.112	0.145	0	0.24	0.081	0.243	0.162	0.382	0.128	0.371	0.114	0	0.038	0.351	0.177	0.179	0.099	0.207	0.229	0.115	0.013	0.178	0.223	0.742
TCGA.BD.A3EP.11A.12R.A22L.07	0.041	0.084	0.154	0.033	0.192	0.045	0.205	0.177	0.295	0.181	0.388	0.095	0	0.057	0.33	0.202	0.037	0.181	0.296	0.237	0.169	0.028	0.145	0.181	0.764
TCGA.BD.A3ER.01A.11R.A213.07	0	0.13	0.068	0.009	0.247	0.113	0.257	0.147	0.386	0.207	0.196	0.042	0	0.024	0.231	0.229	0.073	0.224	0.295	0.19	0.188	0	0.158	0.112	0.775
TCGA.BW.A5NO.01A.11R.A27V.07	0	0.093	0.158	0.01	0.238	0.078	0.126	0.226	0.414	0.189	0.267	0.059	0.018	0.036	0.269	0.178	0.107	0.139	0.237	0.237	0.154	0.047	0.082	0.237	0.723
TCGA.BW.A5NP.01A.11R.A27V.07	0	0.079	0.082	0.033	0.225	0.123	0.185	0.157	0.387	0.221	0.137	0.032	0.016	0.012	0.173	0.138	0.12	0.187	0.138	0.2	0.203	0.014	0.115	0.202	0.688
TCGA.BW.A5NQ.01A.11R.A27V.07	0.01	0.112	0.158	0.107	0.211	0.091	0.207	0.334	0.249	0.133	0.327	0.135	0.015	0.012	0.233	0.195	0.112	0.086	0.196	0.154	0.133	0.078	0.128	0.242	0.656
TCGA.CC.5258.01A.01R.A131.07	0.024	0.111	0.139	0.07	0.242	0.123	0.31	0.219	0.241	0.077	0.215	0.053	0	0.028	0.245	0.188	0.058	0.207	0.219	0.207	0.181	0.031	0.168	0.212	0.76
TCGA.CC.5259.01A.31R.A213.07	0	0.038	0.133	0.054	0.212	0.157	0.116	0.207	0.445	0.192	0.323	0	0.016	0	0.287	0.15	0.104	0.141	0.134	0.234	0.177	0.021	0.061	0.276	0.674
TCGA.CC.5260.01A.01R.A131.07	0.029	0.128	0.178	0.002	0.191	0.134	0.215	0.204	0.369	0.089	0.266	0.082	0	0.071	0.25	0.218	0.099	0.107	0.249	0.2	0.168	0.004	0.155	0.169	0.719
TCGA.CC.5261.01A.01R.A131.07	0.077	0.148	0.133	0.003	0.249	0.076	0.216	0.15	0.416	0.132	0.331	0.144	0	0.038	0.268	0.188	0.162	0.098	0.111	0.224	0.123	0	0.198	0.228	0.702
TCGA.CC.5262.01A.01R.A131.07	0	0.103	0.194	0.033	0.225	0.065	0.137	0.289	0.429	0.085	0.294	0.04	0	0.044	0.308	0.209	0.083	0.151	0.293	0.276	0.21	0.046	0.129	0.206	0.821
TCGA.CC.5263.01A.01R.A131.07	0	0.1	0.037	0.026	0.23	0.148	0.244	0.14	0.361	0.177	0.053	0.034	0	0.109	0.235	0.284	0.131	0.235	0.29	0.129	0.221	0	0.07	0.103	0.771
