CD4_naive	CD8_naive	Tc	Tex	Tr1	nTreg	iTreg	Th1	Th2	Th17	Tfh	Tcm	Tem	NKT	MAIT	DC	B_cell	Monocyte	Macrophage	NK	Neutrophil	Tgd	CD4_T	CD8_T	InfiltrationScore
TCGA.A2.A0D1.01A.11R.A034.07	0	0.061	0.382	0.032	0	0.127	0.167	0.164	0.594	0.042	0.2	0	0.052	0	0.241	0.115	0.089	0.239	0.164	0.275	0.25	0.112	0.117	0.19	0.655
TCGA.A2.A0D2.01A.21R.A034.07	0	0.008	0.485	0.087	0.025	0.096	0.174	0.286	0.53	0.039	0.423	0.103	0.013	0.024	0.204	0.149	0.125	0.239	0.223	0.327	0.154	0.129	0.16	0.233	0.733
TCGA.A2.A0D3.01A.11R.A115.07	0	0.017	0.416	0.05	0.037	0.122	0.142	0.245	0.381	0.168	0.451	0.166	0.041	0.04	0.095	0.078	0.11	0.149	0.139	0.159	0.19	0.147	0.161	0.267	0.571
TCGA.A2.A0D4.01A.11R.A00Z.07	0	0.135	0.307	0.009	0.06	0.103	0.187	0.126	0.459	0.126	0.136	0.005	0.003	0.086	0.26	0.111	0.076	0.207	0.177	0.242	0.255	0.07	0.066	0.101	0.563
TCGA.A2.A0EM.01A.11R.A034.07	0	0.062	0.329	0.083	0	0.108	0.085	0.107	0.575	0.167	0.098	0.043	0.045	0.074	0.134	0.177	0.044	0.219	0.266	0.244	0.237	0.101	0.096	0.18	0.667
TCGA.A2.A0EN.01A.13R.A084.07	0	0.042	0.472	0.085	0.039	0.069	0.183	0.321	0.478	0.125	0.452	0.15	0	0.099	0.162	0.125	0.092	0.192	0.238	0.351	0.138	0.084	0.17	0.275	0.72
TCGA.A2.A0EO.01A.11R.A034.07	0	0.054	0.442	0.005	0.024	0.073	0.148	0.218	0.55	0.155	0.415	0.137	0	0	0.177	0.124	0.081	0.201	0.229	0.323	0.171	0.135	0.147	0.233	0.687
TCGA.A2.A0EP.01A.52R.A22U.07	0	0.053	0.479	0.113	0.055	0.073	0.187	0.265	0.375	0.072	0.58	0.104	0	0.06	0.229	0.192	0.125	0.19	0.264	0.37	0.087	0.101	0.219	0.307	0.8
TCGA.A2.A0EQ.01A.11R.A034.07	0	0.022	0.524	0.166	0.067	0.104	0.22	0.338	0.337	0	0.477	0.16	0.032	0	0.167	0.15	0.158	0.131	0.154	0.329	0.13	0.161	0.132	0.323	0.687
TCGA.A2.A0ER.01A.21R.A034.07	0	0.018	0.333	0.053	0	0.125	0.077	0.17	0.557	0.159	0.364	0.11	0.012	0	0.142	0.153	0.104	0.178	0.244	0.231	0.222	0.067	0.112	0.199	0.657
TCGA.A2.A0ES.01A.11R.A115.07	0	0.054	0.42	0.025	0	0.084	0.145	0.19	0.527	0.138	0.465	0.109	0	0.059	0.203	0.122	0.037	0.183	0.19	0.297	0.178	0.163	0.193	0.199	0.637
TCGA.A2.A0ET.01A.31R.A034.07	0	0.058	0.432	0.052	0	0.111	0.135	0.278	0.378	0.098	0.415	0.12	0.066	0	0.138	0.119	0.07	0.167	0.256	0.223	0.191	0.104	0.147	0.224	0.637
TCGA.A2.A0EU.01A.22R.A056.07	0	0.092	0.391	0.011	0.031	0.132	0.207	0.149	0.474	0.118	0.298	0.072	0.034	0	0.186	0.184	0.051	0.206	0.189	0.217	0.214	0.092	0.097	0.249	0.641
TCGA.A2.A0EV.01A.11R.A034.07	0	0.064	0.454	0.047	0.034	0.075	0.189	0.221	0.456	0.133	0.373	0.146	0.033	0.014	0.116	0.161	0.091	0.237	0.291	0.316	0.178	0.099	0.134	0.249	0.755
TCGA.A2.A0EW.01A.21R.A115.07	0	0.038	0.429	0.058	0.021	0.059	0.145	0.184	0.476	0.126	0.487	0.133	0	0.13	0.157	0.097	0.072	0.187	0.193	0.313	0.172	0.128	0.194	0.221	0.66
TCGA.A2.A0EX.01A.21R.A034.07	0	0.057	0.366	0	0.022	0.033	0.055	0.189	0.482	0.159	0.427	0.17	0	0.103	0.241	0.093	0.13	0.181	0.168	0.254	0.17	0.107	0.138	0.222	0.618
TCGA.A2.A0EY.01A.11R.A034.07	0	0.061	0.433	0.063	0.057	0.074	0.16	0.248	0.364	0.13	0.395	0.134	0.023	0.086	0.168	0.107	0.111	0.214	0.233	0.231	0.222	0.127	0.131	0.227	0.672
TCGA.A2.A0ST.01A.12R.A084.07	0	0	0.532	0.156	0.075	0.056	0.204	0.332	0.469	0.041	0.517	0.134	0	0.016	0.164	0.197	0.214	0.108	0.167	0.38	0.102	0.117	0.184	0.3	0.753
TCGA.A2.A0SU.01A.11R.A084.07	0	0.071	0.399	0.034	0.046	0.087	0.138	0.191	0.545	0.117	0.405	0.17	0	0.048	0.161	0.155	0.089	0.152	0.141	0.289	0.202	0.068	0.149	0.267	0.658
TCGA.A2.A0SV.01A.11R.A084.07	0	0.073	0.44	0.075	0.046	0.081	0.186	0.245	0.338	0.16	0.349	0.053	0.043	0	0.118	0.204	0.073	0.276	0.402	0.16	0.191	0.074	0.152	0.169	0.741
TCGA.A2.A0SW.01A.11R.A084.07	0	0.067	0.49	0.136	0.096	0.042	0.173	0.354	0.387	0.034	0.461	0.169	0.054	0.026	0.142	0.124	0.108	0.181	0.233	0.326	0.152	0.118	0.124	0.287	0.7
TCGA.A2.A0SX.01A.12R.A084.07	0	0.003	0.468	0.113	0.087	0.071	0.236	0.322	0.48	0.076	0.487	0.154	0.004	0.054	0.097	0.134	0.147	0.201	0.211	0.33	0.141	0.084	0.198	0.25	0.735
TCGA.A2.A0SY.01A.31R.A084.07	0	0.071	0.412	0.044	0.041	0.061	0.143	0.24	0.508	0.112	0.506	0.152	0	0.031	0.191	0.116	0.152	0.179	0.244	0.305	0.157	0.116	0.13	0.245	0.697
TCGA.A2.A0T0.01A.22R.A084.07	0	0.045	0.463	0.069	0.024	0.113	0.168	0.262	0.429	0.103	0.291	0.085	0.053	0.064	0.192	0.167	0.07	0.241	0.253	0.217	0.219	0.052	0.09	0.204	0.666
TCGA.A2.A0T1.01A.21R.A084.07	0	0.038	0.513	0.125	0.07	0.054	0.2	0.322	0.502	0.036	0.464	0.124	0.007	0.023	0.165	0.178	0.11	0.196	0.26	0.368	0.122	0.112	0.161	0.281	0.763
TCGA.A2.A0T2.01A.11R.A084.07	0	0.036	0.424	0.102	0.019	0.076	0.128	0.271	0.574	0.145	0.212	0	0.043	0.138	0.143	0.131	0.098	0.196	0.242	0.345	0.209	0.059	0.061	0.198	0.674
TCGA.A2.A0T3.01A.21R.A115.07	0	0.079	0.324	0.041	0	0.062	0.083	0.208	0.527	0.115	0.32	0.105	0.057	0.052	0.193	0.068	0.083	0.187	0.134	0.31	0.201	0.092	0.139	0.23	0.616
TCGA.A2.A0T4.01A.31R.A084.07	0	0.079	0.437	0.102	0.02	0.043	0.111	0.277	0.495	0.134	0.462	0.111	0.005	0.095	0.19	0.151	0.079	0.185	0.252	0.335	0.162	0.104	0.144	0.222	0.698
TCGA.A2.A0T5.01A.21R.A084.07	0	0.071	0.32	0.002	0	0.104	0.096	0.207	0.565	0.196	0.259	0.08	0.019	0.022	0.169	0.099	0.088	0.174	0.17	0.221	0.246	0.043	0.147	0.196	0.611
TCGA.A2.A0T6.01A.11R.A084.07	0	0.046	0.427	0.059	0.072	0.083	0.217	0.222	0.469	0.142	0.506	0.14	0.014	0.06	0.122	0.104	0.096	0.19	0.254	0.298	0.135	0.091	0.194	0.212	0.676
TCGA.A2.A0T7.01A.21R.A084.07	0	0.05	0.415	0.023	0.042	0.068	0.122	0.194	0.505	0.159	0.392	0.087	0	0.114	0.232	0.166	0.068	0.19	0.257	0.295	0.181	0.069	0.149	0.215	0.693
TCGA.A2.A0YC.01A.11R.A109.07	0	0.089	0.372	0.016	0.045	0.092	0.211	0.178	0.501	0.132	0.299	0.086	0.008	0.072	0.171	0.166	0.073	0.206	0.287	0.254	0.221	0.112	0.143	0.194	0.704
TCGA.A2.A0YD.01A.11R.A109.07	0	0.067	0.433	0.061	0.057	0.068	0.187	0.202	0.455	0.144	0.437	0.122	0.004	0.04	0.16	0.115	0.066	0.214	0.266	0.311	0.159	0.11	0.182	0.192	0.686
TCGA.A2.A0YE.01A.11R.A109.07	0	0.048	0.36	0.05	0.056	0.088	0.177	0.157	0.512	0.106	0.179	0	0.027	0.16	0.122	0.163	0.1	0.274	0.192	0.159	0.214	0.09	0.088	0.231	0.647
TCGA.A2.A0YF.01A.21R.A109.07	0	0.084	0.33	0.036	0.061	0.091	0.131	0.194	0.543	0.194	0.176	0.043	0.04	0.055	0.199	0.195	0.084	0.192	0.297	0.215	0.221	0.031	0.12	0.155	0.674
TCGA.A2.A0YG.01A.21R.A109.07	0	0.075	0.346	0.026	0.07	0.106	0.207	0.219	0.393	0.088	0.315	0.119	0.054	0.023	0.164	0.139	0.115	0.189	0.232	0.159	0.24	0.049	0.118	0.18	0.625
TCGA.A2.A0YH.01A.11R.A109.07	0	0.049	0.449	0.079	0.081	0.073	0.239	0.253	0.415	0.137	0.293	0.098	0.008	0	0.235	0.143	0.114	0.213	0.37	0.278	0.199	0.06	0.111	0.211	0.747
TCGA.A2.A0YI.01A.31R.A10J.07	0	0.057	0.467	0.086	0.082	0.041	0.117	0.266	0.447	0.112	0.44	0.159	0.02	0.014	0.187	0.096	0.089	0.209	0.27	0.334	0.172	0.087	0.18	0.237	0.723
TCGA.A2.A0YJ.01A.11R.A109.07	0	0.002	0.323	0.035	0	0.124	0.154	0.09	0.313	0.158	0.078	0.031	0	0.128	0.209	0.225	0.088	0.266	0.236	0.158	0.292	0	0.049	0.112	0.649
TCGA.A2.A0YK.01A.22R.A109.07	0	0.05	0.435	0.097	0.077	0.064	0.198	0.284	0.47	0.131	0.539	0.145	0	0.01	0.196	0.084	0.151	0.1	0.106	0.358	0.113	0.132	0.206	0.277	0.636
TCGA.A2.A0YL.01A.21R.A109.07	0	0.054	0.446	0.034	0.033	0.073	0.126	0.229	0.505	0.13	0.481	0.12	0	0.076	0.177	0.104	0.07	0.157	0.156	0.329	0.17	0.119	0.176	0.232	0.635
